,mz(Da),mz_std(Da),Int,Gauss_r2,N_signals,Confidence_interval(Da),Confidence_interval(ppm),mz_min(Da),mz_max(Da),RelativeIntensity(%)
0,111.04388068882153,0.0005,231690.28125,0.0,1.0,0.0,0.0,111.04388068882153,111.04388068882153,100.0
1,101.05955054677338,0.0005,93566.84375,0.0,1.0,0.0,0.0,101.05955054677338,101.05955054677338,40.38444912112601
2,129.05455649827326,0.0005,64840.2734375,0.0,1.0,0.0,0.0,129.05455649827326,129.05455649827326,27.98575455460543
3,245.13790201723975,0.0005,50033.42578125,0.0,1.0,0.0,0.0,245.13790201723975,245.13790201723975,21.594960958790757
4,187.09648589545435,0.0005,46279.6328125,0.0,1.0,0.0,0.0,187.09648589545435,187.09648589545435,19.974783820372267
5,83.04879913007385,0.0005,26195.748046875,0.0,1.0,0.0,0.0,83.04879913007385,83.04879913007385,11.306364645744068
6,169.08551210388907,0.0005,24169.802734375,0.0,1.0,0.0,0.0,169.08551210388907,169.08551210388907,10.43194501037147
7,55.0543489959946,0.0005,13400.515625,0.0,1.0,0.0,0.0,55.0543489959946,55.0543489959946,5.783805670528099
8,141.09154845735827,0.0005,11021.9990234375,0.0,1.0,0.0,0.0,141.09154845735827,141.09154845735827,4.757212501090828
9,59.049229450774654,0.0005,9300.0126953125,0.0,1.0,0.0,0.0,59.049229450774654,59.049229450774654,4.013984809866728
10,85.02809442623101,0.0005,7954.01806640625,0.0,1.0,0.0,0.0,85.02809442623101,85.02809442623101,3.4330391518769194
11,138.0557729020241,0.0005,6941.28759765625,0.0,1.0,0.0,0.0,138.0557729020241,138.0557729020241,2.99593386490235
12,123.0808393361967,0.0005,6667.8505859375,0.0,1.0,0.0,0.0,123.0808393361967,123.0808393361967,2.877915530148073
13,246.1415216501475,0.0005,5149.2880859375,0.0,1.0,0.0,0.0,246.1415216501475,246.1415216501475,2.2224877358499473
14,108.03087885205603,0.0005,4658.54736328125,0.0,1.0,0.0,0.0,108.03087885205603,108.03087885205603,2.01067879850107
15,63.839480118423786,0.0005,4516.90673828125,0.0,1.0,0.0,0.0,63.839480118423786,63.839480118423786,1.9495451919312001
16,76.50191863863841,0.0005,4448.1904296875,0.0,1.0,0.0,0.0,76.50191863863841,76.50191863863841,1.91988649920442
17,83.04375339613102,0.0005,4403.576171875,0.0,1.0,0.0,0.0,83.04375339613102,83.04375339613102,1.9006305090214048
18,111.03573570242352,0.0005,3119.774658203125,0.0,1.0,0.0,0.0,111.03573570242352,111.03573570242352,1.3465280638322523
