,mz(Da),mz_std(Da),Int,Gauss_r2,N_signals,Confidence_interval(Da),Confidence_interval(ppm),mz_min(Da),mz_max(Da),RelativeIntensity(%)
0,111.04389970405055,0.0005,219506.046875,0.0,1.0,0.0,0.0,111.04389970405055,111.04389970405055,100.0
1,101.05958684863083,0.0005,103132.140625,0.0,1.0,0.0,0.0,101.05958684863083,101.05958684863083,46.98373557049646
2,129.05448669222977,0.0005,86464.7890625,0.0,1.0,0.0,0.0,129.05448669222977,129.05448669222977,39.390618296605865
3,245.1377387372873,0.0005,56348.12109375,0.0,1.0,0.0,0.0,245.1377387372873,245.1377387372873,25.670418603929406
4,187.09614942941852,0.0005,47228.50390625,0.0,1.0,0.0,0.0,187.09614942941852,187.09614942941852,21.515809964517636
5,83.04901818158888,0.0005,27773.353515625,0.0,1.0,0.0,0.0,83.04901818158888,83.04901818158888,12.65265987476
6,169.08594414849807,0.0005,27210.248046875,0.0,1.0,0.0,0.0,169.08594414849807,169.08594414849807,12.396126864956097
7,143.07014890752043,0.0005,21696.794921875,0.0,1.0,0.0,0.0,143.07014890752043,143.07014890752043,9.88437231263632
8,147.06507840904385,0.0005,16656.357421875,0.0,1.0,0.0,0.0,147.06507840904385,147.06507840904385,7.588108691766535
9,246.14660754465004,0.0005,16440.701171875,0.0,1.0,0.0,0.0,246.14660754465004,246.14660754465004,7.489862537243599
10,55.05420549693693,0.0005,15231.0986328125,0.0,1.0,0.0,0.0,55.05420549693693,55.05420549693693,6.938805946191545
11,95.08530682580349,0.0005,11148.517578125,0.0,1.0,0.0,0.0,95.08530682580349,95.08530682580349,5.078911372529815
12,141.09122317257663,0.0005,10263.9951171875,0.0,1.0,0.0,0.0,141.09122317257663,141.09122317257663,4.675950965046734
13,59.049111999109144,0.0005,9563.3447265625,0.0,1.0,0.0,0.0,59.049111999109144,59.049111999109144,4.3567568468892555
14,115.00654966558642,0.0005,9164.267578125,0.0,1.0,0.0,0.0,115.00654966558642,115.00654966558642,4.174949942651779
15,85.02828790291804,0.0005,7967.3359375,0.0,1.0,0.0,0.0,85.02828790291804,85.02828790291804,3.629665811455792
16,123.08014638125843,0.0005,7679.61865234375,0.0,1.0,0.0,0.0,123.08014638125843,123.08014638125843,3.498590932539088
17,112.04746931020533,0.0005,5567.9013671875,0.0,1.0,0.0,0.0,112.04746931020533,112.04746931020533,2.5365594462908803
18,204.13815845036126,0.0005,5300.375,0.0,1.0,0.0,0.0,204.13815845036126,204.13815845036126,2.4146829098600433
19,197.0121206913134,0.0005,5033.7080078125,0.0,1.0,0.0,0.0,197.0121206913134,197.0121206913134,2.2931978774502726
20,138.054889581182,0.0005,5021.927734375,0.0,1.0,0.0,0.0,138.054889581182,138.054889581182,2.2878311581251287
21,133.0171587336032,0.0005,4835.27783203125,0.0,1.0,0.0,0.0,133.0171587336032,133.0171587336032,2.202799376540524
22,102.06259859835603,0.0005,3769.241943359375,0.0,1.0,0.0,0.0,102.06259859835603,102.06259859835603,1.7171472025578454
