,mz(Da),mz_std(Da),Int,Gauss_r2,N_signals,Confidence_interval(Da),Confidence_interval(ppm),mz_min(Da),mz_max(Da),RelativeIntensity(%)
0,164.10683149508432,0.0005,38438.32421875,0.0,1.0,0.0,0.0,164.10683149508432,164.10683149508432,100.0
1,249.15746588277534,0.0005,5584.72216796875,0.0,1.0,0.0,0.0,249.15746588277534,249.15746588277534,14.529046938119519
2,118.80941727162158,0.0005,5066.400390625,0.0,1.0,0.0,0.0,118.80941727162158,118.80941727162158,13.1805964323326
3,114.67709154579978,0.0005,4352.9912109375,0.0,1.0,0.0,0.0,114.67709154579978,114.67709154579978,11.324612348251476
4,116.39493236298847,0.0005,4248.74072265625,0.0,1.0,0.0,0.0,116.39493236298847,116.39493236298847,11.053397381417938
5,232.184482954218,0.0005,4141.1796875,0.0,1.0,0.0,0.0,232.184482954218,232.184482954218,10.773569794387539
