mz(Da),RT(s),id,maxInt,maxInt_frac
245.078155517578,216.51908829306,684.0,2653862.5190849304,0.09062905887940717
245.137878417969,127.63217427828,371.0,713256.2039794922,0.08451962717065033
245.137899964165,160.46226718524,489.0,152010750.81915283,0.10282307610331629
245.137911449515,100.46084716416,279.0,385041.0928955078,0.10069481242492168
245.137914755746,106.00232126808,296.0,341152.55157470703,0.09094396475063692
245.137929958899,138.4852051983,409.0,486799.05310058594,0.08542997403932284
245.137939453125,111.37622907258,315.0,432486.3148803711,0.11041332930837043
245.137954711914,52.55919411276,145.0,113204.97479248047,0.12243716426029955
245.137954711914,228.18641617392,725.0,2021352.2135009766,0.09488910998236941
245.137969970703,217.98443009946,690.0,2507261.2934570312,0.08499300508930066
245.137991586407,239.02263119316,766.0,1727524.4681549072,0.09153065002250448
245.13801574707,233.55000116922,746.0,1952668.2749938965,0.09774438486004315
245.13801574707,153.40771010016,463.0,1555433.6505737305,0.09922325355573515
245.13801574707,63.2611811409,173.0,261776.3579711914,0.09510410356505462
245.138031005859,116.66862418746,333.0,572306.799621582,0.08377829295485081
245.138031005859,19.17863729094,55.0,160154.48168182373,0.07656758930097872
245.138031005859,47.06936910246,130.0,157852.56396484375,0.11368342871593573
245.138031005859,41.66433813666,115.0,322551.9504699707,0.08508221856010745
245.138031005859,538.99109628294,1610.0,222320.9940185547,0.07048112420926944
245.138044484883,122.23386814692,353.0,643807.3771362305,0.09496427252931737
245.138045993133,133.06910922624,389.0,768248.9180679321,0.05756489965025827
245.138046264648,79.04789807892,214.0,447750.05752563477,0.10519929029501741
245.138046264648,528.10642125702,1580.0,315239.2794189453,0.062101524530300864
245.138046264648,25.14954521754,71.0,242928.50889587402,0.07855055797528546
245.138047452495,207.5404422531,652.0,3037735.349559784,0.09024665983155117
245.138051354003,176.10221626854,545.0,16779678.039505005,0.09720484482240495
245.138061523438,8.64199617006,25.0,181209.1964111328,0.10235136063635533
245.138067589062,212.66696813202,671.0,2707058.678100586,0.09181669163130143
245.138076782227,223.10785009956,708.0,2416417.424102783,0.06900505432620463
245.138083375361,165.74582817648,508.0,159537440.93092346,0.09909201819806633
245.138092041016,73.93137719724,200.0,351673.2254638672,0.11612904709658105
245.138092041016,84.36436917876,230.0,315222.7451171875,0.1095645749830343
245.138092041016,522.5867471943,1565.0,363618.77392578125,0.0757024445710923
245.138100655686,144.88671925164,434.0,424728.181098938,0.10060163997581945
245.138101815858,202.4298901806,635.0,3411829.0222320557,0.09018876803172676
245.138106485741,170.96194818114,527.0,28471607.567565918,0.09690575052541286
245.138107299805,473.71294524768,1433.0,365561.24377441406,0.07805093392772838
245.138107299805,414.02338316538,1271.0,724697.5036010742,0.08228904303681336
245.138107299805,463.19221928214,1403.0,357033.7303209305,0.07846499647370345
245.138122558594,441.33064916232,1344.0,376547.4733505249,0.08193486710447208
245.138122558594,30.7235560665,85.0,181150.99040985107,0.08237833510280375
245.138134784155,244.86031224822,788.0,1553451.107849121,0.08891676284633714
245.138137817383,89.7819562206,246.0,510670.0987548828,0.08146372000031307
245.138137817383,468.2542281399,1417.0,359151.7653198242,0.07664772032510046
245.138137817383,533.53486921884,1595.0,342912.20446777344,0.08544078942480002
245.13814147019,186.73851325608,582.0,6162184.351547241,0.08910669393753701
245.138141899828,155.18571212388,471.0,9327562.199249268,0.08534101494000954
245.138148904623,197.18689611054,617.0,3969658.371152878,0.08001855929424687
245.138153076172,452.22827818488,1373.0,539064.6326599121,0.0910356688266732
245.138153076172,484.57169916726,1462.0,284564.8921813965,0.07859238922336427
245.138153076172,511.6786711464,1536.0,301825.9988861084,0.07950927648857194
245.138153076172,408.61696627236,1255.0,665240.2556762695,0.09442824922311872
245.138153076172,36.12005927658,100.0,223327.20547485352,0.08335472996524858
245.138168334961,13.90866019824,40.0,229726.26720428467,0.0762488652284744
245.138168334961,57.85381009674,159.0,285261.8673095703,0.07571971490386559
245.138168334961,500.8934881935,1506.0,323441.931640625,0.08099549650494221
245.138168334961,430.6906183014,1314.0,407466.1372680664,0.0662610516462688
245.138168334961,435.9031560669,1329.0,441722.8881530762,0.10869095203724649
245.138168334961,403.308773304,1238.0,768576.7283325195,0.09585079118883721
245.138168334961,446.82936122514,1358.0,451277.7240142822,0.07599850772307248
245.13817550718,181.46041014288,563.0,16278881.567840576,0.09439444556410258
245.13818359375,517.090698267,1550.0,299508.5778808594,0.08690910179784368
245.13818359375,495.36156513786,1492.0,301083.7946739197,0.0758401113562255
245.13818359375,479.12857511136,1447.0,276656.5902862549,0.07894060803152336
245.13818359375,68.79495909312,187.0,250032.0812034607,0.08250811528646534
245.13818359375,489.97634127234,1477.0,243990.05895996094,0.09763339632172945
245.138198852539,506.31295111272,1521.0,289054.7332992554,0.08411737497981887
245.138214111328,419.5531692753,1286.0,410957.7741699219,0.10609447100572972
245.138214595643,95.05271508792,262.0,449720.2456512451,0.09251643020540275
245.138229370117,3.16924026108,10.0,221119.26806640625,0.07761673072446026
245.138229370117,425.05357315638,1300.0,377002.64111328125,0.09451253831347431
245.138246811833,191.97196128462,599.0,4603752.757824898,0.07940562715464228
245.138259887695,397.85798719026,1220.0,621237.7055358887,0.0914428244817285
245.138290405273,457.71340229604,1388.0,349879.86277389526,0.0811721200791953
245.185531616211,87.53403427698,239.0,569912.5349121094,0.06443501760215405
245.229217529297,50.79969527814,140.0,163290.2543334961,0.09098540714557418
245.229232788086,481.0136962185,1452.0,310367.38663101196,0.07630699033475243
245.229232788086,34.25101330374,95.0,249027.3797607422,0.10773176117782979
245.229248046875,475.61377122498,1438.0,320550.5777053833,0.0770678582494413
245.229248046875,529.8521480808,1586.0,328841.60011291504,0.07961540575427568
245.229263305664,518.85959127042,1556.0,269834.8950805664,0.07683863176567429
