mz(Da),RT(s),id,maxInt,maxInt_frac
245.115127563477,185.25162413214,632.0,212087988.0107422,0.09720472240490965
245.11589050293,179.7513811836,611.0,273717609.87939453,0.10086934491414488
245.13723987068,131.64887621496,428.0,2617549.5348968506,0.0707809611260331
245.137710471968,202.05975916482,699.0,81558865.86401367,0.10127001414869277
245.137793857877,57.47426416968,173.0,775916.4472961426,0.08540598215300835
245.137873363789,222.68697526548,776.0,50435954.017578125,0.09534435490848503
245.137880170508,238.186240221,833.0,42067678.73517132,0.0989294899345259
245.137885401175,333.45136430358,1165.0,1054904.2926635742,0.0974254259033302
245.137904967892,289.76407029726,1021.0,11434157.004577637,0.09625206734168448
245.137906695367,160.3621261368,535.0,3210033360.015625,0.09726792371979592
245.137924194336,36.3445081959,109.0,669972.4564208984,0.0986740891232523
245.137925155198,253.65098908044,891.0,36547600.12866211,0.09619401787322492
245.13792545618,196.6892082939,677.0,121036581.73089421,0.10030486507783755
245.137925742859,186.28102519608,637.0,97414058.01397705,0.10178279400471518
245.137954711914,52.1954291115,156.0,512659.17071533203,0.12207817526491055
245.137955224625,212.40567209814,737.0,60719284.68713379,0.09846763727219773
245.13796326106,170.80311825372,578.0,524969896.640625,0.10456582053804571
245.137963809847,217.54939129446,757.0,56130085.48339844,0.09838513432575026
245.137964284528,274.0375702629,967.0,18009865.834228516,0.09829372224614533
245.137966449932,191.46889021494,657.0,167555365.98828125,0.09743385360240747
245.137967587472,165.6055612812,558.0,4310233911.878906,0.09913701222162462
245.137968364875,338.72209718322,1182.0,2497091.8257217407,0.09556435461920881
245.137969970703,104.56962516402,327.0,1388022.3144536018,0.09332115933128245
245.137971136704,258.76824929808,911.0,28434144.43836212,0.09547574944218641
245.137973803214,227.82342221832,795.0,47691018.419921875,0.09628876992238328
245.13797994493,233.05379822352,814.0,53020653.52398682,0.10044888446330733
245.137981982319,416.07255914304,1434.0,5123428.841300964,0.09855143218341023
245.137990903841,431.82804229356,1480.0,4595552.985954285,0.09845394316698253
245.137996621478,279.18069412806,985.0,16565366.804782867,0.09406776308449061
245.137999360105,207.24844029048,718.0,79285521.70703125,0.09984037223403926
245.138000828828,268.89163019754,949.0,19786633.03114128,0.09632329168890783
245.13800557337,327.63486530874,1146.0,3462383.636871338,0.09934881712323158
245.138010678687,46.95829322436,141.0,474672.01037597656,0.10455238303274034
245.13801574707,88.70528724288,273.0,1220896.4073791504,0.09511860961184379
245.13802107919,511.27224423978,1701.0,1704439.1360750198,0.08047502450915489
245.138022348457,263.78141310312,930.0,23651132.549606323,0.09800507418147222
245.138030346886,452.83001830674,1540.0,3242570.2118759155,0.09031758940096221
245.13803362534,243.32519915202,852.0,37308923.38699341,0.09599686013047999
245.13804063899,41.70407822226,125.0,619090.4856567383,0.11183192074346886
245.138044555372,284.33976509664,1003.0,12750553.00958252,0.093790775121773
245.138046537193,181.13976624108,617.0,294864453.56933594,0.09825176839495718
245.138048341123,473.99877312276,1599.0,1990954.4696464539,0.10421494911776902
245.138048795272,120.81681015588,388.0,2161046.84967041,0.0762914684265845
245.138052793431,532.66471126176,1756.0,1752183.4280433655,0.07961872435398201
245.13805495099,442.3559961567,1510.0,2473998.500274658,0.09723300028205116
245.138056170548,463.27086427308,1570.0,3018812.980255127,0.09975331221894715
245.138056687862,447.64704611394,1525.0,2497386.56111145,0.09898180440876027
245.13807104428,294.9523511181,1038.0,10016311.387390137,0.09638676730991251
245.138071217432,537.83103110886,1771.0,1981360.760907352,0.07806834855716256
245.13807431542,516.51305916402,1714.0,1955211.757534027,0.07640436805597522
245.138078379522,521.9507932911,1728.0,1898013.174879074,0.0781341471112014
245.138079187673,30.9699502239,93.0,807415.3784179688,0.07532294761237178
245.138080747505,500.8713341007,1673.0,2004959.6285877228,0.08358443705574481
245.138089023856,175.99850823972,597.0,434031587.0263672,0.10232956615966722
245.138089339248,78.40789511298,237.0,1122806.2485647202,0.07305776133892943
245.138089931471,300.3682952175,1056.0,9396328.702857971,0.09074707813708639
245.138090342366,155.00584724046,512.0,37756378.15685272,0.08133227814497489
245.138092041016,0.99217012026,5.0,569856.6689834595,0.09472547106019182
245.138093294667,410.69472410772,1417.0,5620763.946548462,0.09796776607886895
245.138100880372,322.41002228358,1129.0,4474217.09683609,0.09425134964912694
245.13810282831,248.50491907692,871.0,39480799.562072754,0.09327984845417993
245.138112929763,437.00646522138,1495.0,3891814.53837204,0.0907528712552017
245.138115940544,495.63816716766,1659.0,2139758.3890190125,0.07797166825292329
245.138120543851,506.01315929988,1687.0,1740998.4696774483,0.08034513990751264
245.138122034832,73.15455725286,220.0,1229928.5890693665,0.05898429339291378
245.138122558594,109.95265724754,346.0,1781192.4970741272,0.06316235043225536
245.138122558594,62.75394919014,188.0,717918.5964136124,0.0793522950454802
245.138122558594,68.07139923666,204.0,783125.9739761353,0.08003520073918531
245.138125415566,484.84068515394,1629.0,2173836.2569351196,0.0774888098575069
245.138125862387,400.46429016684,1383.0,8359255.286239624,0.09439659670388732
245.13812614928,479.37123229602,1614.0,2586039.0150909424,0.08279588566743659
245.138137817383,25.63959219552,76.0,826503.0395126343,0.09611427712878443
245.138137817383,17.66116025544,53.0,386691.94842529297,0.11860839188150533
245.138137817383,356.49341728782,1240.0,1714377.0580787659,0.09216285873661097
245.138138649521,490.109462286,1644.0,2290510.0459599495,0.08087676681521054
245.13815236093,405.53961422538,1400.0,7815768.525970459,0.09477261385604138
245.138153076172,350.74490025138,1221.0,1640949.8921813965,0.09691300836346338
245.138157568506,389.6358101616,1345.0,549522.5008544922,0.09170143866337017
245.138157874549,143.57540919876,471.0,2406875.2473754883,0.07977660826392005
245.138167672015,421.3866582165,1450.0,4544421.647338867,0.0969905117647049
245.138168334961,126.51411011316,410.0,2035341.703655243,0.06613778125473985
245.138168334961,368.78588225934,1279.0,1488685.35546875,0.09313689473780179
245.138168334961,11.90881016352,37.0,735656.6235656738,0.09466452650145006
245.138170183332,378.82241418456,1311.0,647414.357093811,0.11425899542073523
245.138171195632,458.11515119172,1555.0,1860211.1782226562,0.09951167724508916
245.138174124259,527.37665417292,1742.0,1692668.986213684,0.08308858370743806
245.138181594958,426.74791910742,1465.0,4384252.413146973,0.09490576831349319
245.13818359375,137.40521028138,449.0,2052612.621383667,0.06908026861610932
245.13819583231,344.49443509674,1201.0,2116588.098175049,0.0913352824962412
245.138198852539,99.15595724676,308.0,1159078.9545288086,0.09946649033228953
245.138203212331,468.53753616906,1584.0,2414508.4831237793,0.09336991553383693
245.138216563192,317.21124627684,1112.0,4873093.6484375,0.09729929213489057
245.138217088968,306.1220951328,1075.0,7715296.566493988,0.08765267403159738
245.138244628906,93.87193420026,290.0,1365068.7077560425,0.07465394602189679
245.138320922852,6.49964120484,21.0,407544.47790527344,0.08742001155768572
245.138320922852,115.25635125732,365.0,1723646.6578216553,0.08701222344174799
245.138351561145,311.86350228882,1094.0,5707120.628892422,0.09287414301646983
245.13851200076,395.1916721115,1365.0,5293259.531982422,0.08784586032301583
245.229125976563,439.52261927226,1502.0,2718404.6839904785,0.09976454493592607
245.229141235352,510.92253830526,1699.0,2232587.78263855,0.09868373170510593
245.22917175293,434.11422612762,1487.0,3465518.8548812866,0.10050027379289232
245.22917175293,494.37116530038,1655.0,1996975.1052398682,0.10285040739169829
245.229187011719,418.25347926714,1441.0,4736369.712478638,0.0855974933569607
245.229202270508,472.72135307886,1595.0,3188325.984680176,0.09275801240871744
245.229232788086,54.72256019208,164.0,826872.2465820312,0.09842580016008072
245.229248046875,522.47726609802,1730.0,2075167.4418487549,0.08771591876356481
245.229248046875,483.61501028634,1625.0,2311045.5364151,0.10391279589302986
245.229278564453,499.60989525414,1669.0,1934465.396270752,0.09833359535234405
245.229278564453,450.53586318588,1533.0,2451987.535797119,0.09780127840129527
245.229278564453,423.68404224012,1457.0,4196727.020500183,0.09661914761653302
245.229278564453,488.96622016524,1640.0,1647230.0903930664,0.10495976002887601
245.229293823242,4.1401551018,13.0,414306.3406982422,0.11644985684068894
245.229293823242,505.18621614072,1684.0,1844492.4470596313,0.09230975214695224
245.229293823242,9.56130912402,29.0,550545.5891113281,0.0829985903370119
245.229309082031,478.2415881405,1610.0,1766809.9435424805,0.10467897809323892
245.22932434082,539.21268608664,1775.0,1647187.0436973572,0.098222954547915
245.22932434082,15.04397609328,45.0,558234.0722961426,0.06859830321488353
245.22932434082,444.99004414176,1517.0,2422328.7757263184,0.10183240399562907
245.229339599609,467.31788923836,1580.0,3053920.2531433105,0.10225008116325116
245.229354858398,533.5899462948,1759.0,1435471.0815887451,0.09420698750707615
245.229354858398,428.96305515864,1472.0,4281024.595027924,0.09340950918956159
245.229354858398,407.13569524386,1406.0,7180619.363616943,0.09902146339948104
245.229385375977,412.6466202984,1424.0,5896867.0453186035,0.09722750794511477
245.229385375977,517.0396101723,1716.0,1894991.2685546875,0.09457215409054961
245.229400634766,527.903889204,1744.0,2446034.3337402344,0.08630382741897308
245.229415893555,461.62521722412,1565.0,2201591.2271728516,0.08986177278651886
245.229431152344,456.1502132664,1549.0,2141313.908252716,0.09572692983499188
245.400344848633,161.9525361309,541.0,3690174626.6132812,0.09361912292943753
246.141448974609,11.45782330134,35.0,186498.3135986328,0.11764362619301369
246.1416015625,6.04831411932,19.0,314864.44140625,0.09605825284658402
246.168197631836,169.4131412754,572.0,299032750.6020508,0.08872128536618575
246.168350219727,163.55637409782,548.0,823953948.7324219,0.08531775848413242
246.169387817383,156.75681021306,519.0,622227910.8347778,0.0889736687088285
246.943740844727,393.9210012207,1360.0,4796275.589233398,0.06104752417840092
247.10791015625,158.75557210542,527.0,289503922.7327881,0.053265036461122676
247.11875970815,126.21127131078,408.0,1180632.8058776855,0.14366497125997388
247.128601074219,83.4497270832,255.0,737019.5015258789,0.07965289678184814
248.145706176758,164.50115015604,553.0,40740931.048568726,0.04672480048947914
248.146118164063,159.29180815314,530.0,31638427.179016113,0.043167628633127016
249.036895751953,24.65208413694,72.0,197347.5760498047,0.050897018962004326
249.117063532328,145.04604723546,477.0,6105939.708740234,0.12038831818921793
249.156807819311,110.7321462879,349.0,2442648.28024292,0.2106578100752299
249.156877221755,121.10277607536,390.0,2268120.4434509277,0.1581384962538742
249.156999722638,55.93433024976,168.0,69154.0205078125,0.07337271252121959
249.157015274853,16.71744325254,50.0,66585.61588287354,0.10282406229700448
249.157040604608,115.75437810516,368.0,1370312.5703125,0.21023777712576971
