mz(Da),RT(s),id,maxInt,maxInt_frac
245.078088226426,227.71098210906,664.0,128316.24304199219,0.07864121543207654
245.078171684278,216.92580702402,628.0,231082.06072998047,0.05735219952279729
245.07818671502,222.3481300125,646.0,202430.25367164612,0.040525647914302146
245.137969970703,163.12492015458,458.0,737832.7795715332,0.12943347118293924
245.138153076172,26.99412705996,71.0,52148.630859375,0.08984063130252813
245.185775756836,86.52205708122,225.0,251829.44262695312,0.10656060457554242
245.229232788086,42.72929217912,112.0,63206.919677734375,0.15709035207299804
245.229278564453,61.1952550659,161.0,52839.99523925781,0.1029414417684787
245.229293823242,453.35999300574,1232.0,32006.561889648438,0.1392083620243049
245.229309082031,29.56108119582,78.0,99966.62683105469,0.049571426368370516
245.229309082031,53.79909112548,142.0,105745.70947265625,0.05917750347556073
245.22932434082,531.7064972172,1434.0,149655.9842529297,0.03370786028366752
245.22932434082,525.9158990631,1419.0,117626.42431640625,0.0430582716152269
245.229354858398,509.14943602182,1376.0,35939.878173828125,0.14272381608225232
245.229354858398,15.33273699378,42.0,100498.61474609375,0.05580826496447307
245.229354858398,503.37564303972,1362.0,85482.36340332031,0.06204496212833993
245.229370117188,464.64705112074,1261.0,91450.18713378906,0.06185539022947187
245.229370117188,442.5570271263,1204.0,53015.63928222656,0.09109748319516851
245.229370117188,421.27140214536,1149.0,71609.64748382568,0.06012399389041769
245.229370117188,514.60301711652,1390.0,80094.93884277344,0.08099473150408135
245.229370117188,475.72819306944,1290.0,80916.20947265625,0.05652982547043912
245.229385375977,537.09027817344,1448.0,71188.82202148438,0.07801374408601218
245.229385375977,481.1915691147,1304.0,101287.78210449219,0.05172502716907296
245.229385375977,4.39310505486,14.0,34072.41516113281,0.14883773887134524
245.229385375977,9.82920601464,28.0,170069.24145507812,0.03478830650279731
245.229385375977,48.637743021,128.0,79900.28283691406,0.07493818317854223
245.229400634766,416.00682714078,1135.0,73187.3316192627,0.06756279554472523
245.229400634766,431.84392407036,1176.0,76797.55859375,0.055766333463461035
245.229400634766,492.46304299926,1333.0,98107.32543945312,0.052005495964073244
245.229400634766,519.98366215326,1404.0,125201.70947265625,0.051719689626935246
245.229400634766,34.99007108304,92.0,135545.70971679688,0.0413183847490101
245.229415893555,399.67502906418,1088.0,116463.52331542969,0.078427897403327
245.229431152344,498.00412705038,1348.0,80400.73742675781,0.08702215591226627
245.229431152344,437.18324210742,1190.0,81256.09436035156,0.06282870083700527
245.229431152344,486.69353201484,1318.0,85324.33288574219,0.0583329977833961
245.229461669922,23.77958514786,62.0,119592.01977539062,0.04357804505325094
245.229476928711,405.24828412626,1106.0,77928.06982421875,0.08596017409810017
245.2294921875,447.8842602024,1218.0,203088.63317871094,0.03350590503528269
245.2294921875,459.25387504194,1247.0,93335.6455078125,0.07276667005560336
245.229537963867,470.32609918212,1276.0,116619.83850097656,0.04661019436927305
245.229568481445,410.74800112344,1121.0,200864.84533691406,0.0346847199980812
245.229568481445,426.48516514398,1162.0,70930.6406173706,0.059073484755209696
246.148574829102,161.43934514616,452.0,1062409.5815734863,0.11315119530874161
246.148574829102,166.67504503824,470.0,230149.72747802734,0.10483680503892208
246.242361489175,214.65680315592,619.0,329836.86737060547,0.16938154242465647
246.24257526563,209.29164722064,602.0,859367.2093157768,0.19254010911323974
246.94367980957,394.23589899636,1069.0,7160388.317199707,0.0593568541498063
249.109384839717,241.46625807378,707.0,59690.71984863281,0.11861088719042166
249.10942445088,246.80162599182,725.0,169778.8631591797,0.15547808535728058
249.109567309819,252.52273609734,744.0,144118.9404296875,0.0754007538871278
249.156939529623,224.18549611662,652.0,174785.8153076172,0.03501838678604435
249.157042057118,129.07131602862,350.0,161567.18014526367,0.2166417417264436
249.157054583086,123.85863211248,334.0,552490.3884735107,0.23021127295339025
249.157073974609,167.03728606794,472.0,60461.66638183594,0.11490906019431124
249.157107005603,216.63950922582,626.0,109808.94152832031,0.055624659303014884
249.157112588425,196.53533318136,563.0,109939.06518554688,0.05254699740886071
249.157133384602,113.60460307692,302.0,1899670.3468017578,0.23302008398207336
249.157133708312,118.69723703958,318.0,593025.8950119019,0.23183054362616118
249.157163125864,400.03611400224,1090.0,69769.68981933594,0.07863382134025615
249.15717445017,108.21396401022,285.0,228850.21868896484,0.24079457271524646
