,mz(Da),mz_std(Da),Int,Gauss_r2,N_signals,Confidence_interval(Da),Confidence_interval(ppm),mz_min(Da),mz_max(Da),RelativeIntensity(%)
0,111.0439990640367,0.0005,32822.84375,0.0,1.0,0.0,0.0,111.0439990640367,111.0439990640367,100.0
1,129.05470906699017,0.0005,14015.73046875,0.0,1.0,0.0,0.0,129.05470906699017,129.05470906699017,42.7011461148914
2,101.05998355994564,0.0005,12125.7021484375,0.0,1.0,0.0,0.0,101.05998355994564,101.05998355994564,36.9428750317757
3,187.09660657946034,0.0005,7811.287109375,0.0,1.0,0.0,0.0,187.09660657946034,187.09660657946034,23.79832524223316
4,245.13629622185917,0.0005,5154.57275390625,0.0,1.0,0.0,0.0,245.13629622185917,245.13629622185917,15.704223537627662
5,221.2086229947754,0.0005,4858.0546875,0.0,1.0,0.0,0.0,221.2086229947754,221.2086229947754,14.800834213214692
6,208.1444373579575,0.0005,4557.75341796875,0.0,1.0,0.0,0.0,208.1444373579575,208.1444373579575,13.88591876037173
7,74.747581192187,0.0005,4518.57177734375,0.0,1.0,0.0,0.0,74.747581192187,74.747581192187,13.766545677029432
8,248.19858160493692,0.0005,4356.52783203125,0.0,1.0,0.0,0.0,248.19858160493692,248.19858160493692,13.272853093453396
9,212.9244499168797,0.0005,4285.021484375,0.0,1.0,0.0,0.0,212.9244499168797,212.9244499168797,13.054997662641588
10,130.55774339143667,0.0005,4164.02197265625,0.0,1.0,0.0,0.0,130.55774339143667,130.55774339143667,12.686353456672231
