,ms2_id,Sample_id,explained_Int(%),SummMS2Table_id,Slice_id
0,119.0,19.0,0.9726208193503968,2177.0,0.0
1,123.0,17.0,0.9677445893397121,2178.0,0.0
2,116.0,21.0,0.965289111082231,2179.0,0.0
3,121.0,9.0,0.9587106746668779,2180.0,0.0
4,124.0,17.0,0.970278138820903,2183.0,0.0
5,126.0,17.0,0.9559254219833342,2188.0,0.0
6,123.0,9.0,0.9655106622452134,2190.0,0.0
7,120.0,19.0,0.9551365881922171,2193.0,0.0
8,129.0,17.0,0.9683423829459522,2194.0,0.0
9,133.0,17.0,0.9550630315172203,2197.0,0.0
10,131.0,17.0,0.9500661717913297,2199.0,0.0
11,132.0,17.0,1.0,2200.0,0.0
12,119.0,18.0,0.9679667863851171,2201.0,0.0
13,136.0,17.0,0.953397560574198,2204.0,0.0
14,138.0,17.0,1.0,2205.0,0.0
15,121.0,18.0,0.9751847071485145,2206.0,0.0
16,137.0,17.0,0.9640661450505151,2207.0,0.0
17,122.0,18.0,0.9527173892707149,2208.0,0.0
18,121.0,19.0,1.0,2210.0,0.0
19,139.0,17.0,0.9640978405750547,2213.0,0.0
20,126.0,18.0,0.9562723061797348,2215.0,0.0
21,127.0,18.0,0.9691559552286815,2216.0,0.0
22,129.0,18.0,0.9694089977415418,2217.0,0.0
23,128.0,18.0,0.9727498566359074,2218.0,0.0
24,140.0,17.0,0.9640341694881227,2219.0,0.0
25,130.0,18.0,0.9574598893343104,2221.0,0.0
26,132.0,18.0,0.9790079241747743,2224.0,0.0
27,134.0,18.0,0.9753440805652287,2227.0,0.0
28,136.0,18.0,0.9680015822074666,2228.0,0.0
29,135.0,18.0,0.9581789726384016,2229.0,0.0
30,138.0,18.0,0.9798321679344799,2230.0,0.0
31,140.0,18.0,0.9618635730876786,2233.0,0.0
32,115.0,19.0,0.9577537664570343,2157.0,0.0
33,116.0,19.0,1.0,2158.0,0.0
34,119.0,17.0,0.9655166568071792,2162.0,0.0
35,120.0,17.0,0.9620371699007813,2169.0,0.0
36,121.0,17.0,0.9500722331677374,2172.0,0.0
37,117.0,19.0,0.9557368158902729,2174.0,0.0
38,118.0,19.0,0.9713719435363404,2175.0,0.0
39,133.0,18.0,0.9695380315469413,2225.0,0.0
40,131.0,18.0,0.9705111211332695,2226.0,0.0
41,115.0,9.0,0.9833395362312293,2166.0,0.0
42,134.0,17.0,1.0,2198.0,0.0
43,135.0,17.0,1.0,2202.0,0.0
44,120.0,9.0,0.9672840568713579,2171.0,0.0
45,100.0,0.0,0.9544112506996721,2181.0,0.0
46,101.0,0.0,0.9663723020670122,2182.0,0.0
47,122.0,9.0,0.9702063064324178,2187.0,0.0
48,127.0,17.0,0.9534631796268683,2189.0,0.0
49,128.0,17.0,1.0,2192.0,0.0
50,118.0,18.0,0.9717435674181337,2195.0,0.0
51,130.0,17.0,0.9506488360579092,2196.0,0.0
52,120.0,18.0,0.9584335121001353,2203.0,0.0
53,123.0,18.0,0.9702531451122033,2209.0,0.0
54,124.0,18.0,0.9669724189137264,2211.0,0.0
55,125.0,18.0,0.9610941865364272,2214.0,0.0
56,102.0,0.0,0.9527843574979376,2220.0,0.0
57,103.0,0.0,0.9655924987561785,2222.0,0.0
58,137.0,18.0,0.9569441966478887,2231.0,0.0
59,139.0,18.0,0.9604983205641942,2232.0,0.0
60,114.0,9.0,0.9685088515267829,2161.0,0.0
61,117.0,9.0,0.9740867702592962,2164.0,0.0
62,116.0,9.0,0.9730486527278388,2165.0,0.0
63,118.0,9.0,0.9732521654983175,2167.0,0.0
64,99.0,0.0,0.968122799624183,2168.0,0.0
