,ms2_id,Sample_id,explained_Int(%),SummMS2Table_id,Slice_id
0,88.0,16.0,1.0,2630.0,0.0
1,63.0,11.0,1.0,2631.0,0.0
2,60.0,23.0,1.0,2632.0,0.0
3,89.0,16.0,1.0,2633.0,0.0
4,134.0,10.0,1.0,2634.0,0.0
5,119.0,8.0,0.9710424286561748,2635.0,0.0
6,135.0,10.0,0.957054976328283,2636.0,0.0
7,126.0,7.0,0.9616918979919287,2637.0,0.0
8,100.0,14.0,1.0,2638.0,0.0
9,120.0,8.0,0.9747922064903206,2639.0,0.0
10,91.0,15.0,0.9532584563921838,2640.0,0.0
11,127.0,7.0,1.0,2641.0,0.0
12,128.0,7.0,0.9559260308340344,2642.0,0.0
13,121.0,8.0,0.951385049935884,2643.0,0.0
14,92.0,15.0,1.0,2644.0,0.0
