,median_mz(Da),N_spectra,min_mz,max_mz,IQR_mz(ppm),mean_Int,min_Int,max_Int,median_Int,Int_Q1,Int_Q3
0,55.05426841940156,22.0,55.054023102196055,55.05444874314646,3.721185803445623,1.3479002184791335,0.0,0.0,0.0,0.0,0.0
1,55.06970687111797,3.0,55.06833478933009,55.07042999373197,21.13689197976193,0.5731544842755659,0.0,0.0,0.0,0.0,0.0
2,59.04911821943866,9.0,59.04892089356674,59.0492509223003,2.244641203697727,0.22071230149134555,0.0,0.0,0.0,0.0,0.0
3,77.04220372670272,3.0,77.04180134574366,77.0422890267678,3.5166946062580617,0.35414615701997965,0.0,0.0,0.0,0.0,0.0
4,83.04911221813279,38.0,83.04891069939613,83.04958843991267,2.548004439073743,3.3743063502687147,0.0,18.98332389078567,0.0,0.0,0.0
5,85.02837823653533,10.0,85.02826776530752,85.02870081749857,2.143113221213823,0.2298393034869225,0.0,0.0,0.0,0.0,0.0
6,91.0575002077854,9.0,91.05708125385475,91.05785225330033,6.0397802759921255,1.341355965604634,0.0,0.0,0.0,0.0,0.0
7,95.08543043277544,13.0,95.08517305064731,95.08601334762008,4.479979734012718,0.42339541219586996,0.0,0.0,0.0,0.0,0.0
8,101.05973567476592,125.0,101.05936760211306,101.06016142756897,3.019601573922719,33.702187955202334,0.0,80.4802882264537,0.0,0.0,68.27047994416688
9,111.04402131042568,172.0,111.04366013161594,111.04439671422011,2.5644457407533454,100.0,0.0,176.24084498689456,141.25042161451336,0.0,166.3788651803727
10,111.0535097052634,4.0,111.05264431675046,111.0536203001476,3.4152713512518043,0.18069872383745775,0.0,0.0,0.0,0.0,0.0
11,112.0476276859712,11.0,112.04723083979421,112.04783527354758,3.432786294103322,0.30628544853688056,0.0,0.0,0.0,0.0,0.0
12,123.08051464826303,9.0,123.08027255525522,123.08100241657517,1.112741379618008,0.1932313602387064,0.0,0.0,0.0,0.0,0.0
13,126.05509349649498,8.0,126.05455057222791,126.05594617106141,3.2720379935822588,0.18842322514589208,0.0,0.0,0.0,0.0,0.0
14,129.0547162773444,87.0,129.0542000724436,129.0552617330221,3.6545808467485315,17.399567785214668,0.0,58.159952723666784,0.0,0.0,42.32781852680913
15,130.0582532330357,4.0,130.05791032340505,130.05889968882562,3.7402131588206347,0.060752397791467565,0.0,0.0,0.0,0.0,0.0
16,138.05506551149912,36.0,138.05449819908918,138.05566210143283,3.4331394879752417,3.581043176229548,0.0,19.37771141339038,0.0,0.0,0.0
17,141.0912411491887,10.0,141.0908242770239,141.09185197001676,3.1477810969868147,0.27374492840703835,0.0,0.0,0.0,0.0,0.0
18,144.06574166648008,6.0,144.06524748234494,144.0661053044327,2.2232991256258545,0.5584382048872396,0.0,0.0,0.0,0.0,0.0
19,147.0652863979818,14.0,147.06464079991463,147.0661378567645,3.3404533620256958,0.8755518511240039,0.0,0.0,0.0,0.0,0.0
20,168.06604493545544,4.0,168.06536020452623,168.06710641599508,5.605840491150106,0.0762949354342816,0.0,0.0,0.0,0.0,0.0
21,169.0859670258763,36.0,169.0852652533172,169.08664996289252,3.6072688589297437,3.081179350145105,0.0,18.963662230837098,0.0,0.0,0.0
22,187.0079968898117,3.0,187.00743636244468,187.00845227799266,3.0180395279669763,0.9914413943695883,0.0,0.0,0.0,0.0,0.0
23,187.09617088191175,50.0,187.09560883604703,187.0972424636191,4.255256884121593,5.778104460562532,0.0,28.450939902699815,0.0,0.0,0.0
24,245.1381556883829,71.0,245.1369421404573,245.13992733151917,4.409725749816259,10.734025090274162,0.0,39.515007577762276,0.0,0.0,25.985314907067014
25,246.14102505491203,4.0,246.1402191720015,246.14259380897232,4.675813323949496,0.05236429188605073,0.0,0.0,0.0,0.0,0.0
