,mz(Da),mz_std(Da),Int,Gauss_r2,N_signals,Confidence_interval(Da),Confidence_interval(ppm),mz_min(Da),mz_max(Da),RelativeIntensity(%)
0,111.04411937944275,0.0005,6094.91845703125,0.0,1.0,0.0,0.0,111.04411937944275,111.04411937944275,100.0
1,101.05966241003941,0.0005,4058.270751953125,0.0,1.0,0.0,0.0,101.05966241003941,101.05966241003941,66.58449625804924
2,129.05455656637554,0.0005,2873.680419921875,0.0,1.0,0.0,0.0,129.05455656637554,129.05455656637554,47.14879190232193
3,147.06611876348697,0.0005,1367.0927734375,0.0,1.0,0.0,0.0,147.06611876348697,147.06611876348697,22.430042060044094
4,138.05513778951845,0.0005,1331.012451171875,0.0,1.0,0.0,0.0,138.05513778951845,138.05513778951845,21.838068229385183
5,245.13775765745908,0.0005,1202.540771484375,0.0,1.0,0.0,0.0,245.13775765745908,245.13775765745908,19.730219197552906
6,169.08597047823883,0.0005,1112.1146240234375,0.0,1.0,0.0,0.0,169.08597047823883,169.08597047823883,18.24658741316669
7,91.05706820084438,0.0005,1048.041748046875,0.0,1.0,0.0,0.0,91.05706820084438,91.05706820084438,17.19533666341061
8,71.81042725619577,0.0005,821.4713134765625,0.0,1.0,0.0,0.0,71.81042725619577,71.81042725619577,13.477970530169978
9,241.57255547785007,0.0005,813.0485229492188,0.0,1.0,0.0,0.0,241.57255547785007,241.57255547785007,13.339776876116623
