,mz(Da),mz_std(Da),Int,Gauss_r2,N_signals,Confidence_interval(Da),Confidence_interval(ppm),mz_min(Da),mz_max(Da),RelativeIntensity(%)
0,248.12520127231818,0.0005,63411.1875,0.0,1.0,0.0,0.0,248.12520127231818,248.12520127231818,100.0
1,249.12959402587995,0.0005,4586.61572265625,0.0,1.0,0.0,0.0,249.12959402587995,249.12959402587995,7.233133305784961
2,164.10624269875024,0.0005,2764.67138671875,0.0,1.0,0.0,0.0,164.10624269875024,164.10624269875024,4.359911075184879
3,247.1486606644662,0.0005,1829.1435546875,0.0,1.0,0.0,0.0,247.1486606644662,247.1486606644662,2.8845754618418082
4,248.15947469025537,0.0005,1324.08447265625,0.0,1.0,0.0,0.0,248.15947469025537,248.15947469025537,2.0880928505813743
5,247.65145846806558,0.0005,1126.27294921875,0.0,1.0,0.0,0.0,247.65145846806558,247.65145846806558,1.776142339581245
6,83.32570471062215,0.0005,1038.1317138671875,0.0,1.0,0.0,0.0,83.32570471062215,83.32570471062215,1.6371428367702268
7,97.32593851650486,0.0005,1017.365478515625,0.0,1.0,0.0,0.0,97.32593851650486,97.32593851650486,1.60439430110913
8,248.0911062905666,0.0005,988.646484375,0.0,1.0,0.0,0.0,248.0911062905666,248.0911062905666,1.5591041949419415
9,105.12862243063509,0.0005,918.2291259765625,0.0,1.0,0.0,0.0,105.12862243063509,105.12862243063509,1.4480554018588006
10,106.60780084303715,0.0005,872.984619140625,0.0,1.0,0.0,0.0,106.60780084303715,106.60780084303715,1.376704416930569
