,mz(Da),mz_std(Da),Int,Gauss_r2,N_signals,Confidence_interval(Da),Confidence_interval(ppm),mz_min(Da),mz_max(Da),RelativeIntensity(%)
0,111.0436778520606,0.0005,6730.4970703125,0.0,1.0,0.0,0.0,111.0436778520606,111.0436778520606,100.0
1,130.09560819597445,0.0005,4821.46826171875,0.0,1.0,0.0,0.0,130.09560819597445,130.09560819597445,71.63613937201947
2,107.39853289740503,0.0005,4802.22119140625,0.0,1.0,0.0,0.0,107.39853289740503,107.39853289740503,71.35017133561104
3,247.1535876065437,0.0005,4503.98388671875,0.0,1.0,0.0,0.0,247.1535876065437,247.1535876065437,66.91903792047306
4,121.07232987742827,0.0005,4447.05615234375,0.0,1.0,0.0,0.0,121.07232987742827,121.07232987742827,66.07322023746562
5,80.00493127665575,0.0005,4125.65771484375,0.0,1.0,0.0,0.0,80.00493127665575,80.00493127665575,61.29796464872681
