,mz(Da),mz_std(Da),Int,Gauss_r2,N_signals,Confidence_interval(Da),Confidence_interval(ppm),mz_min(Da),mz_max(Da),RelativeIntensity(%)
0,160.07547861551978,0.0005,52665.23828125,0.0,1.0,0.0,0.0,160.07547861551978,160.07547861551978,100.0
1,84.04444178109696,0.0005,30612.501953125,0.0,1.0,0.0,0.0,84.04444178109696,84.04444178109696,58.12658017351786
2,205.09814853371876,0.0005,6289.4580078125,0.0,1.0,0.0,0.0,205.09814853371876,205.09814853371876,11.942332766491418
3,159.0919139477577,0.0005,5768.50390625,0.0,1.0,0.0,0.0,159.0919139477577,159.0919139477577,10.953152581298992
4,112.04829018116675,0.0005,5142.830078125,0.0,1.0,0.0,0.0,112.04829018116675,112.04829018116675,9.765132079457358
5,160.08903354054664,0.0005,5136.7998046875,0.0,1.0,0.0,0.0,160.08903354054664,160.08903354054664,9.753681882640063
6,110.96378097433143,0.0005,5104.62060546875,0.0,1.0,0.0,0.0,110.96378097433143,110.96378097433143,9.692580480142077
7,149.86763006427077,0.0005,4922.771484375,0.0,1.0,0.0,0.0,149.86763006427077,149.86763006427077,9.347287974063182
8,55.26857990850834,0.0005,4901.69482421875,0.0,1.0,0.0,0.0,55.26857990850834,55.26857990850834,9.307267913689214
9,94.06517275958328,0.0005,4711.61376953125,0.0,1.0,0.0,0.0,94.06517275958328,94.06517275958328,8.946344730027908
10,264.5725044543959,0.0005,4513.49365234375,0.0,1.0,0.0,0.0,264.5725044543959,264.5725044543959,8.570157089654058
11,108.51351327037227,0.0005,4152.2880859375,0.0,1.0,0.0,0.0,108.51351327037227,108.51351327037227,7.88430513456123
