,mz(Da),mz_std(Da),Int,Gauss_r2,N_signals,Confidence_interval(Da),Confidence_interval(ppm),mz_min(Da),mz_max(Da),RelativeIntensity(%)
0,111.04392801805821,0.0005,34687.34765625,0.0,1.0,0.0,0.0,111.04392801805821,111.04392801805821,100.0
1,101.05956693096397,0.0005,17094.583984375,0.0,1.0,0.0,0.0,101.05956693096397,101.05956693096397,49.28189999933558
2,129.05452144773034,0.0005,15495.66796875,0.0,1.0,0.0,0.0,129.05452144773034,129.05452144773034,44.67239214226279
3,245.13783841150638,0.0005,9244.4951171875,0.0,1.0,0.0,0.0,245.13783841150638,245.13783841150638,26.650913782166384
4,187.09653643770122,0.0005,5263.2880859375,0.0,1.0,0.0,0.0,187.09653643770122,187.09653643770122,15.173509771045165
5,169.08561863748918,0.0005,4816.763671875,0.0,1.0,0.0,0.0,169.08561863748918,169.08561863748918,13.886226527346235
6,147.0660545591108,0.0005,3057.138916015625,0.0,1.0,0.0,0.0,147.0660545591108,147.0660545591108,8.813412159129978
7,83.04911770055779,0.0005,2901.635986328125,0.0,1.0,0.0,0.0,83.04911770055779,83.04911770055779,8.365113456016305
8,138.055302268837,0.0005,2572.2958984375,0.0,1.0,0.0,0.0,138.055302268837,138.055302268837,7.415660384094029
9,55.05434916929788,0.0005,2145.94384765625,0.0,1.0,0.0,0.0,55.05434916929788,55.05434916929788,6.186531956615575
10,85.02846739262174,0.0005,1549.416015625,0.0,1.0,0.0,0.0,85.02846739262174,85.02846739262174,4.4668045276324975
11,112.04751704135384,0.0005,1382.827392578125,0.0,1.0,0.0,0.0,112.04751704135384,112.04751704135384,3.986546928528177
12,95.08535452595851,0.0005,1271.859375,0.0,1.0,0.0,0.0,95.08535452595851,95.08535452595851,3.666637725098117
13,141.09137582477553,0.0005,1260.11083984375,0.0,1.0,0.0,0.0,141.09137582477553,141.09137582477553,3.632767925444717
14,123.08081588331706,0.0005,1258.9200439453125,0.0,1.0,0.0,0.0,123.08081588331706,123.08081588331706,3.6293349852550025
15,59.049233809220716,0.0005,1041.92724609375,0.0,1.0,0.0,0.0,59.049233809220716,59.049233809220716,3.0037674151947287
16,119.11956742217319,0.0005,976.7533569335938,0.0,1.0,0.0,0.0,119.11956742217319,119.11956742217319,2.815877900533572
17,85.02053715864542,0.0005,925.447509765625,0.0,1.0,0.0,0.0,85.02053715864542,85.02053715864542,2.6679685023391433
18,90.86162480210223,0.0005,918.8208618164062,0.0,1.0,0.0,0.0,90.86162480210223,90.86162480210223,2.6488645684930376
19,86.18226452510743,0.0005,916.315673828125,0.0,1.0,0.0,0.0,86.18226452510743,86.18226452510743,2.6416423732041165
20,195.77983338862464,0.0005,849.9042358398438,0.0,1.0,0.0,0.0,195.77983338862464,195.77983338862464,2.4501851345405683
