,mz(Da),mz_std(Da),Int,Gauss_r2,N_signals,Confidence_interval(Da),Confidence_interval(ppm),mz_min(Da),mz_max(Da),RelativeIntensity(%)
0,246.14881304232176,0.0005,67686.9921875,0.0,1.0,0.0,0.0,246.14881304232176,246.14881304232176,100.0
1,160.07553161930932,0.0005,36806.25,0.0,1.0,0.0,0.0,160.07553161930932,160.07553161930932,54.37713925600781
2,246.6505159193561,0.0005,36063.40234375,0.0,1.0,0.0,0.0,246.6505159193561,246.6505159193561,53.279664494251165
3,237.14343337903227,0.0005,29027.47265625,0.0,1.0,0.0,0.0,237.14343337903227,237.14343337903227,42.884861209138805
4,84.04425251250505,0.0005,16762.0546875,0.0,1.0,0.0,0.0,84.04425251250505,84.04425251250505,24.76407082924791
5,237.6448798575271,0.0005,10494.359375,0.0,1.0,0.0,0.0,237.6448798575271,237.6448798575271,15.50424835828062
6,188.07011086369988,0.0005,9713.654296875,0.0,1.0,0.0,0.0,188.07011086369988,188.07011086369988,14.350843467777633
7,159.0915169666024,0.0005,9375.3310546875,0.0,1.0,0.0,0.0,159.0915169666024,159.0915169666024,13.85100851980076
8,228.13759672209983,0.0005,9348.8779296875,0.0,1.0,0.0,0.0,228.13759672209983,228.13759672209983,13.81192697082792
9,247.15015157913425,0.0005,5957.22705078125,0.0,1.0,0.0,0.0,247.15015157913425,247.15015157913425,8.80114015744578
10,205.096420546084,0.0005,5692.85205078125,0.0,1.0,0.0,0.0,205.096420546084,205.096420546084,8.410555509707772
11,201.1015297569366,0.0005,4706.84033203125,0.0,1.0,0.0,0.0,201.1015297569366,201.1015297569366,6.953832900408417
12,94.06486458722915,0.0005,3903.59423828125,0.0,1.0,0.0,0.0,94.06486458722915,94.06486458722915,5.767126167266952
13,228.63991542150575,0.0005,3578.861572265625,0.0,1.0,0.0,0.0,228.63991542150575,228.63991542150575,5.2873697834759845
14,72.08073301732176,0.0005,3087.701171875,0.0,1.0,0.0,0.0,72.08073301732176,72.08073301732176,4.561734939147166
15,238.14534179758226,0.0005,2941.00341796875,0.0,1.0,0.0,0.0,238.14534179758226,238.14534179758226,4.3450053295644535
16,177.10266587573494,0.0005,2838.7177734375,0.0,1.0,0.0,0.0,177.10266587573494,177.10266587573494,4.1938896702249036
17,126.05539708399527,0.0005,1895.549560546875,0.0,1.0,0.0,0.0,126.05539708399527,126.05539708399527,2.8004635739995742
18,118.08615284088303,0.0005,1863.0814208984375,0.0,1.0,0.0,0.0,118.08615284088303,118.08615284088303,2.752495510123287
19,130.0652203682514,0.0005,1830.703857421875,0.0,1.0,0.0,0.0,130.0652203682514,130.0652203682514,2.7046612624633033
20,206.08041551749528,0.0005,1776.253662109375,0.0,1.0,0.0,0.0,206.08041551749528,206.08041551749528,2.6242171571000936
21,161.07823413253544,0.0005,1672.5274658203125,0.0,1.0,0.0,0.0,161.07823413253544,161.07823413253544,2.4709732428163416
22,84.95927974400294,0.0005,1451.990966796875,0.0,1.0,0.0,0.0,84.95927974400294,84.95927974400294,2.145155102733342
23,160.0918816432752,0.0005,1437.2354736328125,0.0,1.0,0.0,0.0,160.0918816432752,160.0918816432752,2.123355503301906
24,111.04344750715131,0.0005,1405.0780029296875,0.0,1.0,0.0,0.0,111.04344750715131,111.04344750715131,2.075846418226822
25,187.0855942590662,0.0005,1399.8486328125,0.0,1.0,0.0,0.0,187.0855942590662,187.0855942590662,2.068120605706299
26,189.07296473335552,0.0005,1179.1441650390625,0.0,1.0,0.0,0.0,189.07296473335552,189.07296473335552,1.7420543104836312
27,112.04645537788255,0.0005,1155.0174560546875,0.0,1.0,0.0,0.0,112.04645537788255,112.04645537788255,1.7064097823333162
28,101.0600861779564,0.0005,1100.8927001953125,0.0,1.0,0.0,0.0,101.0600861779564,101.0600861779564,1.6264464775532135
29,66.95151959300324,0.0005,1069.34033203125,0.0,1.0,0.0,0.0,66.95151959300324,66.95151959300324,1.579831364154971
30,116.79070524528453,0.0005,995.767333984375,0.0,1.0,0.0,0.0,116.79070524528453,116.79070524528453,1.4711354453836507
31,133.38450481155374,0.0005,961.0526123046875,0.0,1.0,0.0,0.0,133.38450481155374,133.38450481155374,1.4198483065143033
32,94.05812574805881,0.0005,959.8587036132812,0.0,1.0,0.0,0.0,94.05812574805881,94.05812574805881,1.4180844392588356
33,108.505565865511,0.0005,935.45556640625,0.0,1.0,0.0,0.0,108.505565865511,108.505565865511,1.3820315191653676
34,112.19491482508738,0.0005,889.9143676757812,0.0,1.0,0.0,0.0,112.19491482508738,112.19491482508738,1.3147494650236873
35,130.5480828055207,0.0005,888.3966064453125,0.0,1.0,0.0,0.0,130.5480828055207,130.5480828055207,1.3125071416740777
36,118.06466290729227,0.0005,880.2709350585938,0.0,1.0,0.0,0.0,118.06466290729227,118.06466290729227,1.3005023662746777
37,136.3704671849875,0.0005,856.8439331054688,0.0,1.0,0.0,0.0,136.3704671849875,136.3704671849875,1.2658915774125727
38,67.49709049629134,0.0005,810.6915893554688,0.0,1.0,0.0,0.0,67.49709049629134,67.49709049629134,1.1977066245014534
