Unnamed: 0,mz(Da),RT(s),id,maxInt,maxInt_frac
1096,186.1134033203125,188.1370752105713,2516,128772.681640625,0.3113390536949248
1097,186.1134490966797,121.7011223087311,1571,55944.77294921875,0.2058840202297371
1098,186.1134490966797,165.673822189331,2196,877952.6596679688,0.1971258408345752
1099,186.3285064697266,396.2146482715606,5001,1022846.985839844,0.1835466528464661
1100,186.98779296875,154.3349972019195,2035,124599.7404785156,0.5414142747482845
1101,186.988037109375,406.0316012153625,5134,34392.0107421875,0.3401588571837135
1102,186.9880828857422,395.3932812461853,4988,938895.6412963867,0.2146279035301082
1103,186.9882354736328,400.5532663116455,5063,569420.5692749023,0.2317942093189107
1104,187.0068817138672,129.1970551261902,1679,95879.60205078125,0.2797692876795939
1105,187.0068969726562,116.7851732025146,1500,26377.58447265625,0.2933347967069208
1106,187.0068969726562,101.9970131168366,1286,58801.67431640625,0.1814455767624402
1107,187.0069427490234,123.8041732559204,1601,39413.96826171875,0.2321439148138697
1108,187.0069885253906,109.7838583240509,1395,50326.2294921875,0.2174977717163711
1109,187.0973968505859,193.6334991703034,2590,111407.9892578125,0.2952809441149941
1110,187.0974273681641,204.3798771152497,2733,83897.87353515625,0.3824956803619449
1111,187.0974426269531,135.9597761878968,1774,63996.12890625,0.3800204223778428
1112,187.0974578857422,146.3879382858277,1923,136455.682800293,0.4022949037717332
1113,187.0974578857422,156.8689992675781,2068,191335.7398071289,0.2894570178685796
1114,187.0974731445312,130.2717492828369,1696,52480.126953125,0.2553773238195634
1115,187.0974884033203,141.179303194046,1850,114619.5131835938,0.4238750131352346
1116,187.0975189208984,151.7665782222747,1998,121811.2414550781,0.3747886336651138
1117,188.3314056396484,159.3236031780243,2106,19579.384765625,0.2627323960100333
1118,188.3314514160156,143.1801913032532,1879,33274.96704101562,0.2968088202390614
1119,188.3314819335938,114.7953472385407,1470,92429.4599609375,0.2693337498390216
1120,188.3315124511719,109.4828522453308,1391,84284.47900390625,0.2060185715562795
1121,188.3315277099609,130.6629851112365,1699,90438.7724609375,0.3006328640655032
1122,188.3315277099609,135.9975822219848,1775,75737.3857421875,0.210765231209926
1123,188.33154296875,120.1885912666321,1549,156639.4399414062,0.1792259444556334
1124,188.3315734863281,125.4709251174927,1624,135742.9204101562,0.1757141591836225
1125,188.3315887451172,151.878234172821,2001,49445.90405273438,0.1371996640721972
1126,190.0017852783203,408.9100911865235,5171,13767.18383789062,0.3649439882348737
1127,190.0019226074219,403.5757732639313,5105,42785.59765625,0.1592208192319389
1128,190.001953125,396.3902001628876,5003,430859.2575683594,0.1883950468143798
1129,190.0508880615234,158.9763582000733,2101,13017.181640625,0.6639161702899579
1130,190.0509033203125,143.9628532180786,1891,63685.54370117188,0.3428919421351062
1131,190.9920196533203,398.0699351081848,5030,542360.6633300781,0.1599431250090611
1132,192.06640625,218.7614832172394,2931,56761.2314453125,0.1784086612401411
1133,192.0664672851562,212.9215221652985,2849,34756.21484375,0.4587494806178437
1134,192.0664825439453,202.3247943172455,2705,43838.3837890625,0.2105050722864446
1135,192.0664978027344,207.6574123153687,2775,39092.81689453125,0.2590155248134982
1136,192.33203125,398.0324633369445,5029,1013050.200195312,0.1901882551949093
1137,192.9920196533203,397.7090621242523,5023,2169675.919433594,0.1835079505117705
1138,193.0036468505859,395.5049093017578,4991,818691.9887695312,0.1594336055751298
1139,193.0039367675781,400.9581361064911,5069,172853.1379394531,0.2163788413945431
1140,193.0902099609375,296.4501102218628,3923,532512.7096557617,0.7879816033334743
1141,193.0902252197266,312.6311133155822,4114,104713.6714477539,0.7548148068414937
1142,193.0902404785156,275.5600312004089,3663,261626.9481811523,0.802469418611384
1143,193.0902557373047,307.402512336731,4057,150335.743347168,0.7659455924203482
1144,193.0902557373047,328.5265431652069,4292,56111.88482666016,0.6871685104076201
1145,193.0902557373047,317.9245641479492,4174,102634.1310424805,0.7573438517526657
1146,193.0902557373047,291.2867572555542,3858,376387.3770751953,0.7984492495080683
