,mz(Da),mz_std(Da),Int,Gauss_r2,N_signals,Confidence_interval(Da),Confidence_interval(ppm),mz_min(Da),mz_max(Da),RelativeIntensity(%)
0,111.04389120444696,0.0005,49845.55859375,0.0,1.0,0.0,0.0,111.04389120444696,111.04389120444696,100.0
1,101.0596492012166,0.0005,15887.4052734375,0.0,1.0,0.0,0.0,101.0596492012166,101.0596492012166,31.8732615736592
2,129.05481771296292,0.0005,12414.32421875,0.0,1.0,0.0,0.0,129.05481771296292,129.05481771296292,24.90557748570722
3,245.14053022724534,0.0005,12226.9033203125,0.0,1.0,0.0,0.0,245.14053022724534,245.14053022724534,24.529574279553962
4,187.0960777887958,0.0005,7927.0693359375,0.0,1.0,0.0,0.0,187.0960777887958,187.0960777887958,15.903261112077201
5,138.054754275204,0.0005,5993.818359375,0.0,1.0,0.0,0.0,138.054754275204,138.054754275204,12.024779194924196
6,152.59255281446246,0.0005,4827.7451171875,0.0,1.0,0.0,0.0,152.59255281446246,152.59255281446246,9.685406791273952
7,141.09085328575512,0.0005,4618.828125,0.0,1.0,0.0,0.0,141.09085328575512,141.09085328575512,9.266278190689475
8,74.58556568404305,0.0005,4421.9287109375,0.0,1.0,0.0,0.0,74.58556568404305,74.58556568404305,8.871259216848166
