,mz(Da),mz_std(Da),Int,Gauss_r2,N_signals,Confidence_interval(Da),Confidence_interval(ppm),mz_min(Da),mz_max(Da),RelativeIntensity(%)
0,111.04401229076103,0.0005,38327.8125,0.0,1.0,0.0,0.0,111.04401229076103,111.04401229076103,100.0
1,101.05962938163634,0.0005,10618.921875,0.0,1.0,0.0,0.0,101.05962938163634,101.05962938163634,27.70552552405645
2,187.0960024636019,0.0005,7205.80810546875,0.0,1.0,0.0,0.0,187.0960024636019,187.0960024636019,18.800467951226672
3,245.1397101296593,0.0005,5757.99755859375,0.0,1.0,0.0,0.0,245.1397101296593,245.1397101296593,15.023026838783846
4,237.91920581197482,0.0005,5523.95654296875,0.0,1.0,0.0,0.0,237.91920581197482,237.91920581197482,14.41239711493775
5,169.0863868147561,0.0005,5362.12744140625,0.0,1.0,0.0,0.0,169.0863868147561,169.0863868147561,13.990173431907312
6,76.27649831896045,0.0005,5109.818359375,0.0,1.0,0.0,0.0,76.27649831896045,76.27649831896045,13.33188101819012
7,129.05507022627881,0.0005,5041.302734375,0.0,1.0,0.0,0.0,129.05507022627881,129.05507022627881,13.153118859509657
8,83.04897917957138,0.0005,4573.11962890625,0.0,1.0,0.0,0.0,83.04897917957138,83.04897917957138,11.931595701962511
9,54.02106795246614,0.0005,4410.4677734375,0.0,1.0,0.0,0.0,54.02106795246614,54.02106795246614,11.507225395233553
10,77.28488306040103,0.0005,4210.162109375,0.0,1.0,0.0,0.0,77.28488306040103,77.28488306040103,10.98461361283011
